sample_index,t_sec,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VBAT(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),FREQ,TRIG,digital_hex,TRIP,REMTRIP,50P1P,ORED50T,51AT,label_fault,trigger_used
0,0.0,,0.0,0.0,3.5,0.0,-226,122,103,0,233,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
1,0.000625,,-7.0,-7.0,3.5,-14.0,-225,83,141,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
2,0.00125,,-10.5,-3.5,0.0,-14.0,-213,41,171,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
3,0.001875,,-7.0,-3.5,0.0,-10.5,-193,-5,198,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
4,0.0025,,-3.5,-3.5,0.0,-7.0,-168,-47,215,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
5,0.003125,,-7.0,0.0,3.5,-7.0,-135,-89,224,0,233,0.02,0.0,0.0,0.03,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
6,0.00375,,-3.5,0.0,0.0,3.5,-96,-130,226,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
7,0.004375,,-3.5,-3.5,0.0,-10.5,-55,-162,218,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
8,0.005,,-10.5,-7.0,7.0,-21.0,-10,-190,200,0,232,0.02,0.0,0.0,0.01,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
9,0.005625,,-3.5,-10.5,-3.5,-10.5,33,-210,177,0,232,0.02,0.0,0.0,0.02,50.05,,01000000000000FF24320000C0000000C0809C000000000000000000000002800300128000040000000000000000B9A98484000048480200000500000000000000000000000000000000000000000000000000000000000000000000000000050000104000000000040000000000000000000CF00000000000000000000000FFF1001000000000000000000000000000,1,0,0,0,0,0,ORED50T
